SEASON YEAR,WEEK,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation
2017,23,550,0,550,0,20.15639752,10.28115942,60.76397516,0.001242236,0.00447205,24.53146998,1.118012422,156.9192547,3.020910973,4.777225673,991.3240166,188.126294
2017,24,533,1,532,1.876172608,24.1800823,13.3654321,67.00823045,0.086419753,0.262510288,34.91481481,4.814814815,194.3703704,2.477572016,4.030246914,987.7934156,146.9238683
2017,25,251,1,250,3.984063745,21.09868852,11.23196721,63.44262295,0.071311475,0.172008197,52.62663934,6.885245902,214.9672131,2.341393443,3.873360656,990.3243852,147.4241803
2017,26,405,1,404,2.469135802,21.69703476,11.50306748,62.28220859,0.133742331,0.156687117,68.89120654,5.644171779,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088
2017,27,434,0,434,0,22.64641822,12.68405797,70.13457557,0.134161491,0.042463768,76.16438923,4.347826087,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344
2017,28,1424,13,1411,9.129213483,22.875,13.74632653,78.26734694,0.209387755,0.424367347,112.5408163,5.87755102,169.6877551,2.353469388,3.641836735,992.8846939,109.6183673
2017,29,1350,18,1332,13.33333333,23.38186147,13.82164502,80.12337662,0.390909091,0.691406926,148.2597403,6.753246753,142.7186147,1.753246753,2.776190476,992.647619,143.5930736
2017,30,695,13,682,18.70503597,22.4925102,12.99816327,73.84489796,0.007346939,0.006510204,194.3336735,3.795918367,109.1734694,3.303061224,4.88755102,995.9189796,162.5142857
2017,31,1603,36,1567,22.45789145,22.12469828,12.29137931,69.8362069,0.10862069,0.137974138,206.2243534,3.879310345,185.7478448,1.923275862,3.107327586,994.2510776,121.8793103
2017,32,1052,20,1032,19.01140684,21.72704403,11.69790356,65.79454927,0,0.003144654,214.242348,1.383647799,167.7127883,2.08951782,3.140461216,996.1501048,143.7463312
2017,33,1703,34,1669,19.96476806,23.62606061,13.44047619,72.32034632,0.05974026,0.034632035,218.3995671,2.987012987,171.034632,2.01017316,3.215584416,990.3900433,135.4025974
2017,34,1098,23,1075,20.94717668,21.17726293,11.29482759,62.57112069,0.029741379,0.083189655,234.6853448,3.879310345,171.2155172,2.297198276,3.76875,996.8170259,127.5926724
2017,35,759,7,752,9.222661397,19.92675732,11.13075314,69.79707113,0.138075314,0.068410042,244.5546025,2.510460251,120.8389121,2.351882845,3.733263598,995.8253138,128.6987448
2017,36,591,5,586,8.460236887,17.63230277,9.076972281,61.49253731,0.007675906,0.004690832,248.7002132,1.918976546,203.0597015,2.573987207,4.045415778,996.5307036,103.565032
2017,37,570,1,569,1.754385965,20.835962,11.96199525,73.32541568,0.004275534,0.003562945,251.0422803,0.997624703,131.304038,2.118527316,3.110688836,993.8230404,111.8646081
2017,38,379,2,377,5.277044855,24.22874449,13.83127753,72.56387665,0.023788546,0.042951542,256.4960352,2.775330396,126.5022026,1.862334802,2.814977974,994.1744493,110.0837004
2017,39,839,2,837,2.383790226,19.98138716,9.974741201,57.01449275,0,0,258.2337474,0.248447205,161.5238095,2.764803313,4.226086957,998.3484472,108.0351967
2018,23,1127,2,1125,1.774622893,15.79270661,9.243181818,77.96280992,0.130165289,0.296756198,54.64173554,6.570247934,127.7809917,2.491735537,3.744834711,993.1072314,118.927686
2018,24,1350,1,1349,0.740740741,21.79063158,12.44231579,73.33263158,0.089684211,0.139242105,83.43663158,1.768421053,134.6947368,1.819789474,2.858105263,992.7128421,129.7452632
2018,25,1362,3,1359,2.202643172,19.20481328,11.98485477,84.4813278,0.456846473,0.697987552,134.6614108,7.468879668,135.4315353,2.645228216,3.964937759,989.5064315,112.4792531
2018,26,2138,8,2130,3.74181478,24.00531959,14.54185567,78.13195876,0.096494845,0.139154639,186.2614433,2.969072165,162.2391753,2.190927835,3.68742268,991.7319588,149.4412371
2018,27,752,3,749,3.989361702,22.81050549,13.07164835,76.54065934,0.044835165,0.192813187,208.643956,4.351648352,134.3098901,1.808571429,2.791428571,1001.352747,177.2
2018,28,1341,13,1328,9.694258016,25.02763959,12.36218274,69.32233503,0.015228426,0.032106599,233.9611675,2.284263959,158.9517766,1.934517766,2.991370558,997.363198,145.9111675
2018,29,1250,17,1233,13.6,22.76546032,10.1231746,73.77777778,0.459047619,0.210730159,257.8298413,2.476190476,174.1015873,3.066666667,4.598095238,990.4177778,110.647619
