DATE,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,MIR_t_minus_1,MIR_t_minus_2,MIR_t_minus_3
1/1/2017,26,T047,3,0,3,0,41.86759925,-87.69578544,"(41.86759925367238, -87.69578544257037)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T054C,3,0,3,0,41.9217769,-87.63214045,"(41.921776903428494, -87.63214045192028)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T062,1,0,1,0,41.80059709,-87.71173035,"(41.8005970872007, -87.7117303452467)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T063,1,0,1,0,41.82539826,-87.72396214,"(41.82539825646484, -87.72396213667864)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T069,4,0,4,0,41.76848567,-87.67946343,"(41.768485667016584, -87.67946342813606)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T114,3,0,3,0,41.79821073,-87.73692496,"(41.79821072626856, -87.73692496319906)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T138,23,0,23,0,41.7105424,-87.58455893,"(41.71054240215372, -87.58455893336821)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T159,10,0,10,0,41.73144686,-87.64972225,"(41.73144685817715, -87.64972225277589)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T223,3,0,3,0,41.97452276,-87.80458947,"(41.974522761157274, -87.80458946950488)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T226,1,0,1,0,41.79436648,-87.64892514,"(41.79436647814991, -87.64892513653469)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,26,T236,4,0,4,0,41.9949663,-87.77083722,"(41.99496630402897, -87.77083721987879)",21.69703476,17.12771066,62.28220859,0.200694512,0.156687117,102.9739188,8.096035323,217.2372188,2.27402863,3.776482618,992.0239264,152.2413088,0,0,0
1/1/2017,27,T028,8,0,8,0,41.98724461,-87.68941677,"(41.98724460846669, -87.68941677018957)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T030,9,0,9,0,41.88377178,-87.71616837,"(41.8837717767951, -87.71616836510131)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T031,1,0,1,0,41.87287286,-87.76473653,"(41.87287286249572, -87.7647365320396)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T049,20,0,20,0,41.89613109,-87.65676212,"(41.896131092623506, -87.65676212387862)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T063,15,0,15,0,41.82539826,-87.72396214,"(41.82539825646484, -87.72396213667864)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T066,1,0,1,0,41.77119859,-87.70310661,"(41.77119858797388, -87.70310660774493)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T089,5,0,5,0,41.70433842,-87.65708427,"(41.70433841525342, -87.65708427193195)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T114,4,0,4,0,41.79821073,-87.73692496,"(41.79821072626856, -87.73692496319906)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T138,8,0,8,0,41.7105424,-87.58455893,"(41.71054240215372, -87.58455893336821)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T147,1,0,1,0,41.93279021,-87.70023788,"(41.93279020985206, -87.7002378838387)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T159,20,0,20,0,41.73144686,-87.64972225,"(41.73144685817715, -87.64972225277589)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
1/1/2017,27,T212,18,0,18,0,41.68103493,-87.53343647,"(41.681034931122895, -87.53343646731054)",22.64641822,19.28726826,70.13457557,0.208030903,0.042463768,117.1125985,6.908447014,129.4244306,2.013457557,3.054451346,994.2356108,167.7598344,0,0,0
