SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,STRWKDATE,ENDWKDATE
2017-01-01,25,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",21.098688524590163,17.083710101424277,63.44262295081968,0.1112937358327079,0.1720081967213114,79.00243979916286,10.204275137514603,214.9672131147541,2.341393442622951,3.873360655737705,990.3243852459016,147.42418032786884,2017-06-18,2017-06-24
2017-01-01,26,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",21.69703476482617,17.127710662175218,62.282208588957054,0.2006945124016711,0.1566871165644172,102.97391877830675,8.09603532312093,217.237218813906,2.2740286298568506,3.776482617586912,992.0239263803682,152.24130879345603,2017-06-25,2017-07-01
2017-01-01,28,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",22.875,20.577265982057444,78.2673469387755,0.3264497700920858,0.4243673469387755,168.08563918409885,8.895212072559085,169.68775510204082,2.3534693877551023,3.641836734693877,992.8846938775512,109.61836734693875,2017-07-09,2017-07-15
2017-01-01,29,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22
2017-01-01,32,T002,3,0,3,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",21.72704402515723,17.947886538771005,65.79454926624737,0.0039283375989524,0.0031446540880503,326.6631405105626,2.425702682532633,167.71278825995807,2.089517819706499,3.140461215932914,996.1501048218028,143.74633123689728,2017-08-06,2017-08-12
2017-01-01,37,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",20.83596199524941,17.780155076101593,73.32541567695962,0.007858266535986,0.003562945368171,376.4776704322253,1.6268509319892746,131.3040380047506,2.118527315914489,3.110688836104513,993.8230403800476,111.8646080760095,2017-09-10,2017-09-16
2018-01-01,23,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",15.792706611570248,13.990087998779543,77.96280991735537,0.1597730133164347,0.2967561983471074,82.23172320063837,9.006988267807321,127.7809917355372,2.4917355371900825,3.7448347107438016,993.1072314049588,118.92768595041322,2018-06-04,2018-06-10
2018-01-01,24,T002,20,0,20,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",21.79063157894737,18.411611456756912,73.33263157894737,0.2013581949193181,0.1392421052631579,127.51998649386456,3.842415410197485,134.69473684210527,1.8197894736842104,2.8581052631578947,992.7128421052632,129.74526315789473,2018-06-11,2018-06-17
2018-01-01,26,T002,22,0,22,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",24.005319587628865,21.34198953161125,78.1319587628866,0.1401716178048015,0.1391546391752577,278.21681090883686,4.282592721347712,162.23917525773197,2.1909278350515464,3.687422680412372,991.7319587628866,149.44123711340205,2018-06-25,2018-07-01
2018-01-01,28,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",25.027639593908628,21.01264797954799,69.32233502538071,0.0747275786170145,0.0321065989847715,403.8968982349349,4.391205215156813,158.9517766497462,1.934517766497462,2.9913705583756345,997.3631979695432,145.91116751269035,2018-07-09,2018-07-15
2018-01-01,29,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",22.76546031746032,20.317634872241584,73.77777777777777,0.8521071428571428,0.2107301587301587,513.5267605497477,4.176829268292683,174.1015873015873,3.066666666666667,4.598095238095239,990.4177777777776,110.64761904761905,2018-07-16,2018-07-22
2018-01-01,30,T002,8,0,8,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",22.226840490797542,19.06060002992668,67.34049079754601,0.0,0.0107055214723926,551.0131313594189,0.5033012868472243,197.8773006134969,1.9432515337423315,2.854601226993865,993.972699386503,123.04907975460122,2018-07-23,2018-07-29
2018-01-01,31,T002,7,0,7,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",24.750342679127726,20.64533489096573,67.79127725856698,0.0523130841121495,0.0257943925233644,530.0995521806863,0.919392523364486,173.42056074766356,2.3283489096573207,3.505607476635514,994.3454828660437,115.78193146417443,2018-07-30,2018-08-05
2018-01-01,32,T002,25,0,25,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",23.89753164556962,21.96886945225817,78.2626582278481,0.1179216479137365,0.2493354430379746,177.8179782973905,2.5336380684481954,144.4620253164557,1.7943037974683544,2.688924050632912,993.2050632911393,100.50632911392404,2018-08-06,2018-08-12
2018-01-01,33,T002,50,0,50,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",24.478865030674847,21.8974202972089,76.53067484662577,0.4139459381094368,0.0498159509202453,14.74172139256323,1.7846055623164283,138.5245398773006,1.8187116564417176,2.688957055214724,993.1871165644172,98.83128834355828,2018-08-13,2018-08-19
2018-01-01,34,T002,2,0,2,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",22.887147239263804,19.82566379317079,70.94171779141104,0.1155910882096243,0.2261656441717791,56.882137964729765,6.219192888292996,201.819018404908,2.715950920245399,4.160736196319019,992.828527607362,71.84969325153374,2018-08-20,2018-08-26
2018-01-01,35,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)",24.293406940063093,21.745889949789504,74.22082018927445,0.3835187628222853,0.5536593059936908,118.21548775100534,5.812493077943673,174.05993690851736,3.0454258675078862,4.738170347003154,994.3917981072556,83.6813880126183,2018-08-27,2018-09-02
