SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,STRWKDATE,ENDWKDATE,MIR_t_minus_1,MIR_t_minus_2,MIR_t_minus_3,Air_Temp_t_minus_1,Air_Temp_t_minus_2,Air_Temp_t_minus_3
2017-01-01,29,T063,9,0,9,0.0,41.825398256,-87.723962137,"(41.82539825646484, -87.72396213667864)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,29,T114,38,0,38,0.0,41.798210726,-87.736924963,"(41.79821072626856, -87.73692496319906)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,29,T138,11,0,11,0.0,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,29,T159,35,0,35,0.0,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,29,T223,26,0,26,0.0,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,29,T226,4,0,4,0.0,41.794366478,-87.648925137,"(41.79436647814991, -87.64892513653469)",23.38186147186148,21.13531255237137,80.12337662337663,0.5740683499507029,0.6914069264069265,227.1148303874772,9.914164267105445,142.71861471861473,1.7532467532467533,2.776190476190476,992.6476190476192,143.5930735930736,2017-07-16,2017-07-22,0.0,0.0,0.0,22.875,22.646418219461697,21.69703476482617
2017-01-01,30,T030,43,1,42,23.25581395348837,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T031,9,1,8,111.11111111111111,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T049,26,1,25,38.46153846153846,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T054C,5,0,5,0.0,41.921776903,-87.632140452,"(41.921776903428494, -87.63214045192028)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,21.69703476482617
2017-01-01,30,T062,12,0,12,0.0,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,21.69703476482617
2017-01-01,30,T063,9,0,9,0.0,41.825398256,-87.723962137,"(41.82539825646484, -87.72396213667864)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T069,21,0,21,0.0,41.768485667,-87.679463428,"(41.768485667016584, -87.67946342813606)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,55.55555555555556,0.0,23.38186147186148,22.875,21.69703476482617
2017-01-01,30,T089,4,0,4,0.0,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T114,21,0,21,0.0,41.798210726,-87.736924963,"(41.79821072626856, -87.73692496319906)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T138,5,0,5,0.0,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T159,32,1,31,31.25,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T212,4,0,4,0.0,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,3.610108303249097,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T222,7,0,7,0.0,41.925286783,-87.747459124,"(41.92528678345797, -87.74745912379434)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T225,1,0,1,0.0,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
2017-01-01,30,T226,1,0,1,0.0,41.794366478,-87.648925137,"(41.79436647814991, -87.64892513653469)",22.49251020408164,19.70613855214776,73.84489795918367,0.0181956781473559,0.0065102040816326,294.248410203028,5.767077639522511,109.1734693877551,3.303061224489796,4.887551020408163,995.9189795918368,162.5142857142857,2017-07-23,2017-07-29,0.0,0.0,0.0,23.38186147186148,22.875,22.646418219461697
